Customer ID,toplam_siparis,toplam_harcama,ilk_alis,son_alis,gecen_gun,churn
12346.0,11,372.86,2009-12-14 08:34:00,2010-06-28 13:53:00,164,1
12347.0,2,1323.32,2010-10-31 14:20:00,2010-12-07 14:57:00,2,0
12348.0,1,222.16,2010-09-27 14:59:00,2010-09-27 14:59:00,73,0
12349.0,3,2671.14,2010-04-29 13:20:00,2010-10-28 08:23:00,42,0
12351.0,1,300.93,2010-11-29 15:23:00,2010-11-29 15:23:00,10,0
12352.0,2,343.8,2010-11-12 10:20:00,2010-11-29 10:07:00,10,0
12353.0,1,317.76,2010-10-27 12:44:00,2010-10-27 12:44:00,43,0
12355.0,1,488.21000000000004,2010-05-21 11:59:00,2010-05-21 11:59:00,202,1
12356.0,3,3562.25,2010-10-11 09:42:00,2010-11-24 12:24:00,15,0
12357.0,2,12079.99,2010-11-16 10:05:00,2010-11-16 14:29:00,23,0
12358.0,3,2719.01,2009-12-08 07:59:00,2010-11-29 10:56:00,10,0
12359.0,6,2563.36,2009-12-05 13:32:00,2010-10-10 11:16:00,60,0
12360.0,5,1590.83,2010-02-22 09:32:00,2010-11-25 11:04:00,14,0
12361.0,3,321.35,2010-01-26 14:37:00,2010-09-03 15:19:00,97,1
12362.0,1,130.0,2009-12-01 10:10:00,2009-12-01 10:10:00,373,1
12366.0,1,500.24,2010-03-16 10:28:00,2010-03-16 10:28:00,268,1
12368.0,1,917.6999999999999,2010-03-21 15:56:00,2010-03-21 15:56:00,263,1
12369.0,3,1791.15,2010-03-08 08:09:00,2010-10-22 13:13:00,48,0
12370.0,3,774.62,2010-02-09 09:41:00,2010-03-25 12:10:00,259,1
12371.0,3,2179.42,2010-03-04 18:23:00,2010-10-26 13:37:00,44,0
12373.0,2,763.0500000000001,2010-02-04 12:08:00,2010-03-25 13:49:00,259,1
12374.0,3,2246.29,2010-04-30 14:01:00,2010-10-14 13:31:00,56,0
12376.0,2,503.15,2010-10-18 08:42:00,2010-11-15 12:15:00,24,0
12377.0,2,1798.2,2010-04-29 15:34:00,2010-11-23 19:24:00,16,0
12378.0,1,1407.7,2010-05-26 14:07:00,2010-05-26 14:07:00,197,1
12379.0,2,767.98,2010-06-23 12:49:00,2010-10-13 14:46:00,57,0
12380.0,7,6951.49,2010-02-15 12:05:00,2010-08-31 14:54:00,100,1
12385.0,1,1938.4,2010-11-25 15:14:00,2010-11-25 15:14:00,14,0
12386.0,1,258.9,2010-12-08 09:53:00,2010-12-08 09:53:00,1,0
12387.0,1,143.94,2010-10-20 16:27:00,2010-10-20 16:27:00,50,0
12388.0,2,1120.45,2010-05-06 12:54:00,2010-09-20 12:41:00,80,0
12389.0,3,1433.33,2010-02-22 10:15:00,2010-11-02 11:52:00,37,0
12391.0,5,2312.53,2010-02-15 10:12:00,2010-09-01 12:38:00,99,1
12392.0,1,234.75000000000003,2010-04-27 14:04:00,2010-04-27 14:04:00,226,1
12393.0,2,816.85,2010-10-07 13:49:00,2010-11-22 16:10:00,17,0
